Date,Adj Close,Volume
2013-05-01,28.954462,151400
2013-05-02,29.515154,215700
2013-05-03,29.024548,212900
2013-05-06,28.910660,366700
2013-05-07,29.541435,711400
2013-05-08,29.804260,824600
2013-05-09,30.093367,296500
2013-05-10,30.802996,220900
2013-05-13,32.292336,593800
2013-05-14,32.344898,171000
2013-05-15,32.721611,506200
2013-05-16,32.721611,206500
2013-05-17,34.062012,1053000
2013-05-20,34.035732,452500
2013-05-21,33.387428,783200
2013-05-22,33.054523,451000
2013-05-23,32.817982,959800
2013-05-24,33.282303,155100
2013-05-28,33.036995,339700
2013-05-29,31.670319,572400
2013-05-30,31.188469,451400
2013-05-31,31.004484,454100
2013-06-03,31.223516,807900
2013-06-04,32.064552,286000
2013-06-05,31.880577,130200
2013-06-06,32.809216,253100
2013-06-07,32.905586,105900
2013-06-10,33.054523,254300
2013-06-11,32.432503,195800
2013-06-12,32.090832,206000
2013-06-13,32.528873,232300
2013-06-14,33.247261,271600
2013-06-17,33.203453,301200
2013-06-18,33.458862,115000
2013-06-19,33.714283,408100
2013-06-20,33.467674,580900
2013-06-21,33.229877,1200100
2013-06-24,32.965664,220800
2013-06-25,31.970438,271600
2013-06-26,31.309887,837100
2013-06-27,30.913559,395300
2013-06-28,30.913559,1664200
2013-07-01,32.067318,375600
2013-07-02,31.441996,248100
2013-07-03,30.975212,226400
2013-07-05,31.221817,188900
2013-07-08,32.137775,380500
2013-07-09,33.881611,1122800
2013-07-10,33.934448,286500
2013-07-11,34.277939,355300
2013-07-12,33.749504,199100
2013-07-15,34.242714,194400
2013-07-16,34.092983,171200
2013-07-17,33.731888,68200
2013-07-18,33.626205,107100
2013-07-19,33.731888,128900
2013-07-22,33.511711,76500
2013-07-23,33.758312,466900
2013-07-24,33.300335,846700
2013-07-25,33.000885,128700
2013-07-26,33.141804,108400
2013-07-29,33.062538,12800
2013-07-30,32.419601,368700
2013-07-31,32.296303,246600
2013-08-01,32.595757,105600
2013-08-02,32.243462,341000
2013-08-05,32.586945,320300
2013-08-06,32.481258,260800
2013-08-07,32.155380,153300
2013-08-08,31.477226,214700
2013-08-09,31.662184,194500
2013-08-12,32.111355,195300
2013-08-13,31.979242,345400
2013-08-14,30.772642,2239400
2013-08-15,29.495594,312400
2013-08-16,29.839075,133000
2013-08-19,29.513195,105500
2013-08-20,29.477972,91100
2013-08-21,29.398708,78500
2013-08-22,29.539621,227000
2013-08-23,29.319443,189200
2013-08-26,29.125681,79500
2013-08-27,27.971926,1150200
2013-08-28,26.157629,959400
2013-08-29,26.060749,1862600
2013-08-30,26.360195,396000
2013-09-03,26.245701,663500
2013-09-04,25.840569,999800
2013-09-05,26.465879,485200
2013-09-06,26.421844,847400
2013-09-09,25.770109,592800
2013-09-10,26.228085,526300
2013-09-11,25.232862,608900
2013-09-12,27.161659,1210700
2013-09-13,27.681288,348200
2013-09-16,27.267344,367300
2013-09-17,27.487524,237400
2013-09-18,27.744587,162100
2013-09-19,27.975052,267300
2013-09-20,28.125744,394900
2013-09-23,28.125744,585400
2013-09-24,28.054827,218100
2013-09-25,27.283655,1184700
2013-09-26,27.062050,174800
2013-09-27,26.778400,77700
2013-09-30,26.264280,310700
2013-10-01,26.858179,358200
2013-10-02,26.663168,77600
2013-10-03,26.282013,213100
2013-10-04,25.971769,882900
2013-10-07,25.821079,85200
2013-10-08,24.987856,259000
2013-10-09,24.518057,447300
2013-10-10,24.863756,500600
2013-10-11,25.369011,285700
2013-10-14,25.475380,491000
2013-10-15,25.315828,270900
2013-10-16,25.891991,270200
2013-10-17,26.211098,285900
2013-10-18,26.574526,287700
2013-10-21,26.379519,252300
2013-10-22,26.087004,232700
2013-10-23,25.448788,196700
2013-10-24,26.379519,260500
2013-10-25,26.583387,124300
2013-10-28,26.884773,328200
2013-10-29,26.618849,230000
2013-10-30,26.459293,176500
2013-10-31,26.618849,197300
2013-11-01,26.352922,256100
2013-11-04,26.299742,114900
2013-11-05,25.998360,146500
2013-11-06,27.017733,312500
2013-11-07,27.363428,536700
2013-11-08,27.186150,165500
2013-11-11,27.655947,502700
2013-11-12,28.294159,766200
2013-11-13,29.091930,559700
2013-11-14,27.195011,2573600
2013-11-15,27.921867,1520800
2013-11-18,28.409393,512500
2013-11-19,28.196657,386800
2013-11-20,27.647083,569100
2013-11-21,27.115236,270000
2013-11-22,27.053188,203400
2013-11-25,26.468161,314400
2013-11-26,26.237690,591900
2013-11-27,26.282013,319800
2013-11-29,26.432701,123900
2013-12-02,26.601122,416200
2013-12-03,26.282013,859600
2013-12-04,26.193373,280000
2013-12-05,26.308607,356000
2013-12-06,26.290876,200700
2013-12-09,26.459293,286700
2013-12-10,26.264280,1526500
2013-12-11,26.663168,1555600
2013-12-12,26.069273,7587400
2013-12-13,25.980629,3148500
2013-12-16,26.140188,1443700
2013-12-17,25.998360,644600
2013-12-18,26.524929,617400
2013-12-19,26.123308,545200
2013-12-20,26.185787,923300
2013-12-23,25.694912,3287000
2013-12-24,25.944809,972200
2013-12-26,25.471786,802800
2013-12-27,25.552113,1702900
2013-12-30,25.096943,1294200
2013-12-31,25.677063,2283100
2014-01-02,25.900187,1296300
2014-01-03,25.793085,1288200
2014-01-06,25.177267,1414200
2014-01-07,25.088018,1149100
2014-01-08,24.802420,2207300
2014-01-09,24.963068,1278500
2014-01-10,26.283958,3225800
2014-01-13,26.864080,3275200
2014-01-14,27.470978,2647800
2014-01-15,27.658401,1172600
2014-01-16,29.978888,2685200
2014-01-17,29.675438,1326000
2014-01-21,29.443396,730000
2014-01-22,29.398764,190400
2014-01-23,29.845009,687600
2014-01-24,29.612965,900100
2014-01-27,29.586187,542300
2014-01-28,29.657589,649600
2014-01-29,29.113163,1055300
2014-01-30,28.604443,1143900
2014-01-31,28.934668,501400
2014-02-03,27.756577,907100
2014-02-04,28.122498,227800
2014-02-05,27.863674,456700
2014-02-06,28.470570,661600
2014-02-07,29.095314,547800
2014-02-10,29.023916,535700
2014-02-11,29.041771,388600
2014-02-12,29.023916,571600
2014-02-13,29.282743,255600
2014-02-14,29.675438,303000
2014-02-18,29.809313,707300
2014-02-19,30.112759,310900
2014-02-20,30.130611,296400
2014-02-21,29.898560,309200
2014-02-24,30.344807,363400
2014-02-25,30.844606,447700
2014-02-26,30.603632,536700
2014-02-27,30.567932,256400
2014-02-28,30.469757,424200
2014-03-03,30.139536,719500
2014-03-04,30.701807,466000
2014-03-05,31.165897,596300
2014-03-06,31.335482,265800
2014-03-07,29.559414,3018700
2014-03-10,30.228786,920800
2014-03-11,29.987810,524700
2014-03-12,28.890041,1852200
2014-03-13,28.122498,1241700
2014-03-14,29.059616,2405600
2014-03-17,28.274220,1300500
2014-03-18,28.714321,625900
2014-03-19,29.010717,490600
2014-03-20,29.459799,646900
2014-03-21,29.792118,1354400
2014-03-24,28.723301,1111100
2014-03-25,28.624506,1107500
2014-03-26,27.896994,1024100
2014-03-27,27.268282,1405200
2014-03-28,27.070679,1153900
2014-03-31,27.151512,1285100
2014-04-01,26.953920,892400
2014-04-02,27.340132,2579700
2014-04-03,26.953920,2800900
2014-04-04,26.917994,9273800
2014-04-07,26.343168,3032900
2014-04-08,27.753284,6359400
2014-04-09,28.516727,2318600
2014-04-10,27.358091,1797200
2014-04-11,26.935957,1255900
2014-04-14,26.657524,944100
2014-04-15,26.774286,1112000
2014-04-16,26.702436,599000
2014-04-17,26.953920,533400
2014-04-21,26.657524,517200
2014-04-22,27.097628,863600
2014-04-23,27.160500,347700
2014-04-24,27.277260,603800
2014-04-25,26.675491,381900
2014-04-28,26.855122,557700
2014-04-29,27.025774,546400
2014-04-30,26.998829,373000
2014-05-01,27.582636,427600
2014-05-02,27.870049,679200
2014-05-05,27.268282,503500
2014-05-06,27.394020,635900
2014-05-07,27.456894,922900
2014-05-08,27.394020,627300
2014-05-09,26.891050,845100
2014-05-12,27.456894,872200
2014-05-13,26.864105,807100
2014-05-14,26.352152,2691600
2014-05-15,26.657524,3404200
2014-05-16,26.989843,1569000
2014-05-19,27.807175,1687900
2014-05-20,27.519762,711900
2014-05-21,27.744307,581900
2014-05-22,27.879032,1299100
2014-05-23,28.004772,370500
2014-05-27,27.977825,521200
2014-05-28,28.067646,425800
2014-05-29,27.627544,404000
2014-05-30,27.411985,961500
2014-06-02,27.349115,951200
2014-06-03,27.304207,534600
2014-06-04,27.268282,415200
2014-06-05,27.474857,499100
2014-06-06,27.699398,408600
2014-06-09,27.932920,599200
2014-06-10,28.004772,387800
2014-06-11,27.896994,343000
2014-06-12,27.394020,368100
2014-06-13,27.088644,941600
2014-06-16,26.774286,802300
2014-06-17,26.711414,586600
2014-06-18,27.118465,657200
2014-06-19,27.263191,876200
2014-06-20,27.426012,980100
2014-06-23,26.774734,2059100
2014-06-24,26.114414,3434700
2014-06-25,25.607864,1940500
2014-06-26,25.671181,860100
2014-06-27,25.327452,2498600
2014-06-30,25.625956,1874200
2014-07-01,25.417908,1224300
2014-07-02,26.096321,671000
2014-07-03,26.358641,804600
2014-07-07,26.765688,1104300
2014-07-08,26.232002,738800
2014-07-09,25.924454,1269200
2014-07-10,25.942545,730700
2014-07-11,25.852093,670800
2014-07-14,25.671181,1288700
2014-07-15,25.662138,546900
2014-07-16,25.463133,811900
